User;Time;esta/no esta?
67710175;2746876;esta
03210593;3056636;esta
32620714;2998183;esta
36169334;3186343;no esta
37245413;3203409;no esta
18814111;3197009;no esta
93023283;3165436;no esta
21974418;3191036;no esta
53372642;3237115;no esta
17860149;2961917;esta
43994242;3129170;no esta
68599860;3228583;no esta
39971058;3137276;no esta
60369407;3074129;no esta
53320567;3112103;esta
19636847;3466662;no esta
70517517;3132156;no esta
94965372;3448316;esta
19964241;2801916;esta
04607516;3084796;no esta
43363138;3114236;no esta
21419966;2818130;esta
38022382;2978130;no esta
03715927;2938450;no esta
26132238;3211943;no esta
26795705;2969596;no esta
44835481;2897063;no esta
37762152;3134716;no esta
98076916;2996049;no esta
19922663;2900050;no esta
46100653;3025489;no esta
37589255;2872316;esta
05433393;2633810;esta
36827448;2188797;esta
43346345;3094609;no esta
89784486;3112103;no esta
52221224;3131729;no esta
43898194;3147089;no esta
11627156;3162876;no esta
31215097;3089490;no esta
30706117;2961489;esta
48739390;3237970;no esta
92771034;3238396;no esta
05945926;3119783;no esta
92443699;3461116;no esta
29069017;3109116;no esta
22989723;2899197;esta
87097192;3416316;no esta
52162170;3268689;no esta
16134811;3106130;no esta
36514944;3275943;no esta
99400764;2882557;esta
70298968;3003303;esta
20767663;3308369;no esta
26655112;2912423;esta
40713513;2679036;esta
81023036;2745596;esta
15966334;3015249;esta
11479645;2860370;esta
70959907;3002449;no esta
78719258;2781436;esta
65782822;2978983;no esta
08257909;2978130;no esta
40594517;3073276;no esta
23336411;2952529;esta
74607829;3043410;no esta
07896627;2957650;no esta
05258312;2828797;esta
33461095;2795090;esta
96536909;3041276;no esta
65790733;3162023;no esta
35030444;3153063;no esta
66371216;2931196;no esta
82147860;2887249;esta
31921107;3127463;no esta
25303201;3203836;no esta
99734438;3091623;no esta
46067556;3164156;no esta
33471964;3416316;no esta
63719697;2996050;esta
35637209;3156476;no esta
99316469;3031036;no esta
96070539;2968316;no esta
20370858;3359143;esta
33754170;3039142;no esta
60406462;3028903;no esta
75892209;3103996;no esta
37056138;2942716;no esta
91623252;2969596;no esta
49584604;2816850;esta
92377036;3206823;no esta
04560767;2882983;esta
01059530;2858236;esta
67836284;3120636;no esta
80559348;3017810;no esta
78879352;3025490;no esta
67215773;3593382;no esta
44898849;3172263;no esta
51852399;3181649;no esta
74180721;2921810;esta
07636678;3002023;no esta
35200836;2914129;esta
78664070;3025916;no esta
88580771;3678288;no esta
94240781;2976423;no esta
43445706;2956370;no esta
28195837;3545169;no esta
57587059;3180369;no esta
67826676;2774609;esta
93257583;3519569;esta
64941199;3173543;no esta
12968958;3021223;no esta
42681750;2902610;esta
51312561;2901757;esta
24917811;3007996;no esta
92739466;2818557;esta
48418373;3635622;no esta
81738019;3083089;no esta
79511726;2665384;esta
86590184;2891516;esta
44448844;3069436;no esta
96089910;3115089;no esta
64563352;3608316;esta
87222635;3028476;no esta
57308558;2949543;no esta
31264892;3231996;no esta
25255573;2644050;esta
32673075;3331409;no esta
56681131;3060476;no esta
36839394;3262716;no esta
88277537;3086930;no esta
77972448;3176529;no esta
49009891;3183356;no esta
50279662;3162450;no esta
87019957;3128743;no esta
11064822;3380049;no esta
65433138;3499516;no esta
12964089;2935890;no esta
50584352;3095463;no esta
43427423;2802343;esta
56158818;2853543;esta
98162915;3110822;no esta
85487416;2829650;esta
64007027;2934183;esta
62048614;2632103;esta
85240150;3097169;no esta
80753165;3056209;no esta
93099722;3133436;no esta
